,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,hand
3584,4,10,3,6,3,10,2,11,1,12,One
3585,4,3,4,13,3,13,1,8,3,7,One
3586,1,5,3,12,1,4,4,4,2,9,One
3587,3,10,4,8,4,11,1,1,3,12,Zero
3588,3,11,4,7,1,3,4,2,2,8,Zero
3589,4,4,2,13,3,1,3,12,4,6,Zero
3590,1,12,3,11,1,3,3,10,4,8,Zero
3591,4,12,2,10,3,9,1,7,3,3,Zero
3592,1,6,3,9,2,4,4,8,2,12,Zero
3593,4,12,1,4,1,12,3,11,4,10,One
3594,4,9,2,11,4,7,3,12,1,4,Zero
3595,4,1,3,13,4,3,3,2,1,5,Zero
3596,2,12,4,11,3,13,3,1,1,12,One
3597,1,1,1,4,3,13,2,6,2,2,Zero
3598,3,5,1,11,1,1,2,2,1,10,Zero
3599,4,4,1,2,4,11,1,7,2,10,Zero
3600,2,3,4,4,3,6,3,3,1,8,One
3601,1,4,3,3,3,8,4,7,2,1,Zero
3602,4,1,4,12,1,5,2,4,4,6,Zero
3603,2,5,1,11,1,12,4,3,1,10,Zero
3604,2,10,4,10,1,12,1,9,3,8,One
3605,2,8,2,5,1,7,3,13,1,6,Zero
3606,3,7,1,7,3,5,2,4,2,13,One
3607,4,11,4,5,1,6,3,3,3,2,Zero
3608,4,7,2,13,4,5,2,8,3,7,One
3609,1,11,4,10,4,8,3,5,3,8,One
3610,4,6,1,8,2,2,2,4,1,10,Zero
3611,3,13,3,6,1,12,2,4,3,11,Zero
3612,2,6,2,1,4,13,2,4,4,9,Zero
3613,1,7,4,10,2,5,4,12,1,11,Zero
3614,1,11,2,3,3,7,1,12,1,4,Zero
3615,1,2,3,3,1,5,3,7,1,10,Zero
3616,2,4,4,13,4,4,3,2,3,1,One
3617,1,8,4,6,1,11,2,7,4,3,Zero
3618,4,12,2,7,2,9,1,9,4,9,Three
3619,3,13,2,10,1,11,2,12,2,4,Zero
3620,3,13,2,12,4,8,1,12,4,10,One
3621,4,7,2,4,1,5,4,13,2,9,Zero
3622,3,4,2,2,3,9,4,9,1,5,One
3623,1,1,4,8,3,11,4,12,2,10,Zero
3624,2,12,3,9,1,4,3,7,4,3,Zero
3625,4,3,4,5,4,10,2,1,2,13,Zero
3626,1,7,1,6,3,9,3,5,2,7,One
3627,2,2,2,5,4,4,4,2,2,7,One
3628,3,8,2,9,1,12,4,7,4,4,Zero
3629,2,13,2,3,3,3,4,10,1,4,One
3630,2,8,3,1,2,11,1,5,3,5,One
3631,1,8,4,5,3,10,3,6,1,11,Zero
3632,4,3,3,6,4,9,3,10,4,5,Zero
3633,4,2,1,10,4,8,3,1,3,4,Zero
3634,3,8,4,10,1,8,3,9,4,9,Two
3635,3,3,3,10,4,1,2,13,3,6,Zero
3636,4,4,2,5,2,13,1,7,2,7,One
3637,1,1,1,9,3,1,3,6,4,12,One
3638,3,3,2,8,2,2,2,11,3,9,Zero
3639,2,13,2,10,4,10,4,13,1,11,Two
3640,4,8,1,12,3,7,4,9,1,1,Zero
3641,2,12,3,1,1,7,2,9,3,6,Zero
3642,2,11,4,3,2,3,3,10,4,1,One
3643,1,10,4,6,1,5,2,5,2,4,One
3644,1,9,4,8,1,3,3,13,1,12,Zero
3645,3,5,3,2,3,1,1,2,2,11,One
3646,1,11,3,4,3,3,4,3,3,12,One
3647,3,13,2,9,3,6,1,9,4,6,Two
3648,3,5,3,2,3,1,2,10,4,4,Zero
3649,3,3,4,9,1,9,2,6,2,8,One
3650,1,5,1,13,1,12,2,13,1,7,One
3651,3,2,3,3,1,7,2,8,2,7,One
3652,2,5,4,8,3,12,2,9,1,2,Zero
3653,4,10,1,12,2,6,1,4,4,8,Zero
3654,3,12,2,2,4,7,2,10,4,8,Zero
3655,4,13,1,2,2,8,3,2,4,9,One
3656,3,10,3,6,4,3,3,7,3,5,Zero
3657,4,6,4,12,3,10,4,2,2,8,Zero
3658,3,7,4,12,4,5,4,4,2,8,Zero
3659,2,4,2,5,1,12,4,12,4,10,One
3660,2,10,3,7,4,7,2,13,4,1,One
3661,3,3,1,5,2,7,2,11,1,8,Zero
3662,3,4,3,13,4,4,2,6,1,12,One
3663,4,1,2,13,4,6,3,1,2,11,One
3664,1,9,4,10,1,10,2,12,4,5,One
3665,4,6,4,2,3,10,1,6,3,7,One
3666,2,7,4,1,2,11,2,2,1,1,One
3667,2,10,1,4,3,7,1,6,4,3,Zero
3668,3,4,3,13,2,8,3,9,1,9,One
3669,1,5,2,9,4,1,1,10,2,1,One
3670,2,12,2,13,2,1,3,5,1,7,Zero
3671,3,2,1,3,3,3,2,3,4,6,Three
3672,4,7,1,13,3,1,2,7,1,2,One
3673,4,3,3,10,3,5,4,6,1,9,Zero
3674,1,10,1,4,1,3,3,3,3,1,One
3675,2,7,4,10,1,10,1,2,4,5,One
3676,1,4,3,6,1,7,4,2,1,5,Zero
3677,4,12,1,9,1,11,3,1,2,8,Zero
3678,1,1,1,4,3,9,1,2,2,1,One
3679,1,1,1,13,4,1,2,6,4,10,One
3680,2,3,1,6,1,7,2,4,3,2,Zero
3681,2,13,2,3,4,1,4,6,3,8,Zero
3682,3,9,1,2,3,12,2,13,4,6,Zero
3683,1,11,3,9,1,6,2,11,3,8,One
3684,2,5,2,13,2,9,3,6,3,7,Zero
3685,1,2,3,1,3,2,4,7,2,6,One
3686,3,6,2,1,3,11,3,2,4,12,Zero
3687,2,6,2,2,1,1,1,13,4,10,Zero
3688,3,2,1,6,2,5,3,12,1,10,Zero
3689,4,2,2,10,1,12,2,9,4,4,Zero
3690,4,7,4,4,1,1,2,3,3,12,Zero
3691,3,5,1,12,3,3,1,7,1,9,Zero
3692,1,11,2,9,4,10,4,5,1,9,One
3693,2,11,1,6,2,8,3,6,4,7,One
3694,2,7,4,12,4,1,4,13,3,11,Zero
3695,2,4,1,8,2,10,1,13,4,9,Zero
3696,2,8,2,6,4,7,2,9,1,11,Zero
3697,4,1,3,9,3,2,2,11,2,9,One
3698,1,5,1,1,1,12,3,12,4,2,One
3699,2,4,2,8,2,9,4,12,2,3,Zero
3700,1,7,1,13,4,1,1,1,2,5,One
3701,2,1,1,3,3,9,3,8,2,13,Zero
3702,4,12,4,13,3,7,1,11,2,12,One
3703,3,2,1,7,2,8,2,13,1,6,Zero
3704,1,1,4,9,1,12,4,2,3,3,Zero
3705,3,1,3,3,2,1,1,13,4,12,One
3706,2,7,4,1,3,3,2,4,1,1,One
3707,1,12,1,13,4,2,4,11,3,8,Zero
3708,2,2,4,3,4,12,3,10,4,4,Zero
3709,3,1,4,1,4,13,2,1,2,12,Three
3710,1,10,4,1,2,10,1,1,3,13,Two
3711,3,6,1,9,4,5,4,8,3,13,Zero
3712,1,8,3,3,1,2,1,3,2,9,One
3713,1,1,3,11,1,4,1,3,3,4,One
3714,3,4,1,3,3,6,3,12,4,9,Zero
3715,3,4,2,7,3,8,2,5,4,5,One
3716,2,3,4,8,3,1,4,13,2,11,Zero
3717,3,11,3,3,1,13,4,5,2,3,One
3718,4,1,2,13,2,12,3,2,2,2,One
3719,1,12,3,9,3,7,4,12,3,4,One
3720,2,3,2,7,4,10,3,10,1,2,One
3721,4,1,2,1,3,12,2,5,2,4,One
3722,4,11,3,12,4,8,1,3,4,3,One
3723,3,7,3,11,2,9,4,6,4,3,Zero
3724,4,9,3,5,3,4,2,11,1,1,Zero
3725,2,5,2,7,4,13,4,3,1,11,Zero
3726,4,9,1,10,4,10,3,12,1,11,One
3727,4,1,1,9,4,2,3,1,4,7,One
3728,1,5,2,11,4,10,4,8,3,7,Zero
3729,4,12,4,8,1,6,4,4,3,13,Zero
3730,1,3,2,4,4,8,1,9,3,10,Zero
3731,4,13,2,4,1,2,4,10,1,10,One
3732,3,2,1,12,3,10,2,9,1,8,Zero
3733,2,13,2,3,3,11,2,7,1,6,Zero
3734,3,13,2,4,1,2,4,3,3,8,Zero
3735,2,2,4,4,2,12,4,3,1,7,Zero
3736,3,11,4,10,4,6,2,9,1,11,One
3737,4,2,2,12,3,6,2,13,4,1,Zero
3738,2,3,4,2,1,12,3,9,4,6,Zero
3739,4,4,4,1,1,7,3,7,1,3,One
3740,1,10,3,3,4,9,3,13,4,5,Zero
3741,2,4,3,13,2,13,2,6,3,8,One
3742,4,3,4,11,3,5,2,1,4,4,Zero
3743,2,3,1,9,1,4,1,3,4,4,Two
3744,1,11,4,1,1,13,4,10,2,10,One
3745,4,6,2,12,4,1,3,6,4,3,One
3746,3,11,2,13,4,3,4,5,2,10,Zero
3747,4,13,3,12,1,3,4,1,3,1,One
3748,3,5,4,4,1,9,4,7,1,13,Zero
3749,4,3,4,9,3,13,4,8,4,11,Zero
3750,1,2,4,6,4,2,4,1,3,3,One
3751,2,6,2,4,1,7,1,2,3,7,One
3752,1,2,3,3,1,4,1,13,4,1,Zero
3753,1,1,3,11,2,2,2,8,1,7,Zero
3754,4,7,3,11,4,5,3,8,1,12,Zero
3755,3,1,1,6,2,5,3,7,4,2,Zero
3756,2,4,1,12,3,4,4,3,1,4,Three
3757,2,5,2,13,3,12,4,3,4,1,Zero
3758,4,4,2,1,4,6,3,7,1,10,Zero
3759,4,12,2,12,4,1,1,5,3,3,One
3760,2,6,2,12,2,13,3,12,4,8,One
3761,1,8,3,3,2,2,3,2,3,5,One
3762,4,8,1,5,4,2,4,3,2,7,Zero
3763,4,9,2,13,1,3,2,5,4,11,Zero
3764,2,10,4,7,4,1,3,8,2,9,Zero
3765,1,5,3,8,2,10,4,10,3,11,One
3766,1,10,3,11,2,13,2,5,4,7,Zero
3767,1,2,2,2,4,4,3,12,3,5,One
3768,4,3,1,11,1,2,3,7,2,13,Zero
3769,2,13,3,10,4,2,4,9,2,12,Zero
3770,4,3,1,1,2,9,3,11,2,2,Zero
3771,1,4,2,6,4,12,1,9,1,13,Zero
3772,4,3,4,10,2,11,2,6,3,5,Zero
3773,3,8,4,7,2,2,1,8,3,4,One
3774,3,13,4,6,2,8,2,4,2,11,Zero
3775,3,10,1,9,3,4,4,9,2,11,One
3776,2,7,2,6,3,6,1,6,1,1,Three
3777,2,1,4,2,1,5,1,6,2,10,Zero
3778,1,13,4,7,3,6,4,1,3,10,Zero
3779,1,9,2,6,4,9,2,8,3,13,One
3780,3,7,4,6,1,9,2,4,1,3,Zero
3781,3,12,4,7,4,6,4,9,1,5,Zero
3782,4,8,1,4,3,6,1,1,2,6,One
3783,1,3,3,9,3,12,3,6,2,9,One
3784,2,8,3,11,1,9,1,2,4,12,Zero
3785,2,6,1,8,1,10,1,12,3,2,Zero
3786,2,10,1,4,4,7,4,9,1,7,One
3787,1,13,4,9,3,11,2,4,3,3,Zero
3788,3,1,1,6,1,13,4,6,2,9,One
3789,3,11,3,2,1,10,1,2,3,12,One
3790,1,11,4,10,4,9,1,2,3,12,Zero
3791,4,5,2,1,3,7,4,3,2,3,One
3792,1,9,3,10,3,1,4,2,3,7,Zero
3793,3,4,3,3,3,2,2,13,4,5,Zero
3794,4,4,4,1,1,10,4,3,2,13,Zero
3795,3,13,3,10,1,9,2,1,1,12,Zero
3796,2,9,3,2,4,4,2,5,1,2,One
3797,1,12,2,5,1,8,2,7,2,2,Zero
3798,3,7,1,11,3,13,2,11,2,9,One
3799,3,12,4,4,3,9,4,6,4,1,Zero
3800,3,5,3,9,1,7,4,5,1,3,One
3801,1,1,3,9,4,13,1,12,2,9,One
3802,4,3,4,2,2,4,2,6,1,4,One
3803,3,9,2,10,1,5,1,4,4,2,Zero
3804,2,2,2,1,1,9,1,7,4,4,Zero
3805,3,11,3,1,4,7,4,1,3,9,One
3806,2,6,1,8,4,4,1,5,4,2,Zero
3807,2,10,1,10,1,12,3,6,3,3,One
3808,1,11,4,4,1,3,4,1,3,9,Zero
3809,2,8,3,5,1,12,1,13,1,10,Zero
3810,1,8,1,13,1,1,3,1,1,6,One
3811,2,7,2,13,2,2,1,2,1,3,One
3812,4,6,2,2,3,9,1,10,2,1,Zero
3813,3,11,3,2,2,10,4,4,3,13,Zero
3814,1,1,4,10,1,2,2,13,2,10,One
3815,4,8,1,10,4,10,2,10,2,3,Three
3816,2,5,3,11,2,1,3,3,2,2,Zero
3817,4,4,2,10,1,11,3,9,3,8,Zero
3818,1,9,1,5,1,2,2,1,3,4,Zero
3819,4,2,4,8,3,7,2,2,2,12,One
3820,4,8,1,11,2,3,1,3,4,13,One
3821,1,9,2,5,1,3,1,2,3,13,Zero
3822,2,13,1,9,3,4,2,10,4,7,Zero
3823,2,13,4,6,1,11,3,3,4,7,Zero
3824,2,1,3,13,3,11,1,9,3,4,Zero
3825,1,5,1,7,1,4,4,12,4,3,Zero
3826,2,12,2,5,1,7,3,10,2,11,Zero
3827,4,1,1,3,1,1,4,11,1,12,One
3828,2,12,1,11,3,4,4,7,4,5,Zero
3829,2,5,4,13,3,8,4,9,3,2,Zero
3830,3,5,3,13,1,8,1,10,1,12,Zero
3831,1,12,2,5,3,6,1,4,1,9,Zero
3832,2,12,3,7,1,3,1,7,2,7,Three
3833,1,12,1,9,2,8,4,13,4,12,One
3834,4,4,2,13,3,3,4,9,2,5,Zero
3835,3,9,3,8,1,7,1,4,2,10,Zero
3836,4,8,3,1,2,5,3,2,1,11,Zero
3837,3,10,4,5,3,8,2,6,1,5,One
3838,4,6,2,1,2,5,3,9,3,5,One
3839,3,11,2,9,3,12,1,6,2,8,Zero
3840,1,13,3,5,3,10,2,4,2,2,Zero
3841,4,10,2,9,1,1,1,7,3,4,Zero
3842,2,9,2,11,4,8,4,10,2,8,One
3843,3,4,4,9,2,5,3,10,2,8,Zero
3844,1,10,2,3,2,2,1,5,3,2,One
3845,1,7,1,4,2,1,3,4,3,13,One
3846,4,4,2,4,3,8,4,11,4,10,One
3847,4,5,2,12,4,10,4,3,2,8,Zero
3848,4,3,2,13,3,11,2,1,4,9,Zero
3849,3,1,3,7,2,7,4,8,2,9,One
3850,3,1,4,8,3,7,2,6,4,9,Zero
3851,3,1,3,11,2,7,2,6,1,8,Zero
3852,4,12,1,12,3,11,2,12,1,1,Three
3853,3,9,2,7,2,13,4,11,1,4,Zero
3854,3,9,3,6,1,12,2,8,1,3,Zero
3855,1,4,4,5,3,7,2,8,1,8,One
3856,2,13,3,9,1,13,2,4,3,6,One
3857,2,1,1,6,4,8,1,7,2,11,Zero
3858,2,9,4,12,1,9,1,10,2,12,Two
3859,3,1,4,5,4,8,1,3,3,11,Zero
3860,1,4,1,9,2,6,2,2,1,11,Zero
3861,3,10,2,9,2,5,3,13,3,4,Zero
3862,2,4,2,9,1,6,3,1,1,3,Zero
3863,1,9,4,7,2,4,2,3,2,2,Zero
3864,3,12,2,13,3,7,4,12,4,4,One
3865,4,1,3,8,4,9,4,13,3,11,Zero
3866,4,3,1,9,3,9,3,4,1,3,Two
3867,1,10,1,11,4,13,1,5,4,1,Zero
3868,1,5,4,12,1,3,2,11,2,12,One
3869,2,7,3,6,4,10,1,13,4,2,Zero
3870,3,4,3,3,3,12,3,9,4,2,Zero
3871,3,8,1,5,3,5,4,4,2,1,One
3872,2,9,3,12,2,3,1,3,4,4,One
3873,4,1,4,11,4,6,4,13,2,2,Zero
3874,4,10,2,7,1,1,2,12,4,13,Zero
3875,2,3,3,13,2,4,1,6,4,6,One
3876,4,11,2,6,1,5,4,9,2,7,Zero
3877,3,12,1,10,2,12,4,13,3,9,One
3878,1,13,3,8,3,4,1,7,3,5,Zero
3879,4,3,2,12,4,12,1,13,3,10,One
3880,4,2,3,6,1,13,1,11,2,2,One
3881,1,12,1,6,3,11,3,5,3,4,Zero
3882,1,13,4,6,2,3,1,6,3,12,One
3883,4,13,3,4,2,4,3,10,4,7,One
3884,2,12,2,2,3,1,4,5,1,9,Zero
3885,1,10,1,11,1,4,1,9,4,5,Zero
3886,1,2,1,12,3,4,1,5,2,1,Zero
3887,2,6,2,1,2,2,1,3,4,5,Zero
3888,2,10,4,13,3,10,4,3,2,6,One
3889,4,9,3,3,4,11,3,1,3,11,One
3890,4,3,1,6,3,9,2,8,3,1,Zero
3891,4,10,2,3,4,4,1,9,1,10,One
3892,4,12,3,8,4,11,3,9,2,12,One
3893,4,6,2,4,4,9,4,12,2,10,Zero
3894,1,7,1,9,1,2,2,10,4,9,One
3895,4,7,4,1,1,13,4,10,1,5,Zero
3896,3,8,4,6,3,13,3,1,4,9,Zero
3897,3,13,1,12,2,2,1,1,3,3,Zero
3898,1,6,3,9,2,6,4,5,3,11,One
3899,2,11,3,13,1,5,4,6,2,12,Zero
3900,3,7,2,5,1,11,3,4,3,5,One
3901,1,3,2,4,1,13,3,9,2,5,Zero
3902,3,13,1,13,3,8,2,12,1,2,One
3903,3,9,3,12,4,10,1,6,4,7,Zero
3904,4,13,4,10,2,11,2,4,1,8,Zero
3905,4,11,4,5,1,10,1,11,2,3,One
3906,4,7,1,13,4,8,3,8,1,8,Three
3907,3,4,1,9,4,10,4,3,3,5,Zero
3908,4,11,3,10,4,10,2,6,4,13,One
3909,3,12,1,10,1,7,3,1,3,6,Zero
3910,2,9,4,8,2,7,3,5,1,11,Zero
3911,1,8,2,4,2,6,3,12,4,9,Zero
3912,4,3,2,2,2,7,4,8,1,5,Zero
3913,2,13,4,8,1,8,3,10,3,4,One
3914,4,8,4,11,3,8,3,3,4,7,One
3915,3,11,4,12,2,12,2,6,3,10,One
3916,4,12,4,3,1,10,3,2,1,1,Zero
3917,3,11,1,12,4,12,2,7,1,2,One
3918,1,8,4,7,4,6,3,11,1,7,One
3919,4,4,3,8,2,2,2,6,2,7,Zero
3920,3,5,4,4,1,4,2,10,3,11,One
3921,1,10,4,5,2,13,3,5,1,5,Three
3922,4,1,1,2,3,9,4,2,3,11,One
3923,4,1,1,4,4,5,3,10,3,5,One
3924,3,4,1,10,4,12,2,12,2,10,Two
3925,3,3,4,4,3,12,1,6,1,7,Zero
3926,3,2,3,11,4,3,2,4,4,8,Zero
3927,2,6,3,1,3,9,3,10,1,3,Zero
3928,2,11,3,1,4,9,2,6,1,5,Zero
3929,2,7,4,11,4,1,1,7,3,7,Three
3930,2,1,3,12,2,7,4,6,2,6,One
3931,3,1,3,12,1,5,2,2,2,8,Zero
3932,3,8,4,13,2,8,1,11,3,13,Two
3933,3,5,3,9,3,6,3,8,1,11,Zero
3934,1,10,2,3,3,11,4,9,1,3,One
3935,3,12,1,11,2,13,3,7,1,6,Zero
3936,1,10,4,11,1,3,3,11,1,8,One
3937,2,6,3,13,1,12,1,1,1,3,Zero
3938,4,1,4,5,4,8,2,4,2,1,One
3939,4,2,3,6,3,11,1,5,4,11,One
3940,4,3,3,2,4,4,4,5,3,13,Zero
3941,2,4,2,7,4,4,2,6,2,8,One
3942,2,6,3,5,1,7,4,9,3,13,Zero
3943,1,10,3,6,3,7,1,11,2,5,Zero
3944,1,9,3,11,4,12,1,5,4,1,Zero
3945,2,12,4,4,2,1,4,3,1,8,Zero
3946,2,11,2,13,4,10,1,8,4,1,Zero
3947,1,13,4,13,2,8,2,9,4,4,One
3948,1,4,1,13,3,11,3,4,2,10,One
3949,2,12,2,9,1,4,4,5,4,2,Zero
3950,3,8,2,5,4,12,1,10,4,3,Zero
3951,3,11,4,7,1,12,1,10,4,10,One
3952,1,5,1,2,4,10,3,1,4,12,Zero
3953,2,7,4,5,3,9,3,11,1,3,Zero
3954,3,10,4,2,1,12,2,11,1,4,Zero
3955,4,2,1,3,2,3,4,4,3,11,One
3956,1,10,1,8,2,11,1,4,1,9,Zero
3957,3,6,1,2,2,11,2,10,1,11,One
3958,1,7,2,13,1,4,2,12,3,8,Zero
3959,1,13,1,10,2,11,1,5,4,3,Zero
3960,1,7,3,2,3,11,1,13,1,10,Zero
3961,1,13,1,7,4,11,4,12,1,11,One
3962,4,11,4,7,2,10,1,9,2,12,Zero
3963,3,8,4,10,2,5,1,12,3,13,Zero
3964,2,9,1,3,2,3,3,9,1,5,Two
3965,3,10,1,12,1,7,3,13,2,12,One
3966,3,1,1,13,4,12,3,7,2,10,Zero
3967,4,10,2,2,2,4,2,11,3,10,One
3968,3,8,1,1,3,4,1,2,3,12,Zero
3969,1,8,1,3,4,7,4,1,3,1,One
3970,3,3,3,11,2,3,1,13,2,12,One
3971,2,2,3,7,2,7,2,6,2,13,One
3972,2,9,1,10,2,5,2,12,4,10,One
3973,2,7,1,7,3,3,2,10,3,11,One
3974,2,7,4,2,1,2,1,8,2,3,One
3975,4,9,3,9,3,4,4,5,3,13,One
3976,1,9,4,8,4,7,1,13,2,6,Zero
3977,4,8,2,4,3,11,2,1,3,5,Zero
3978,4,11,2,5,2,13,4,3,4,6,Zero
3979,4,7,1,7,1,11,3,9,3,5,One
3980,3,5,3,1,2,10,4,2,4,9,Zero
3981,3,10,1,12,4,12,2,1,2,11,One
3982,1,11,2,5,3,7,4,9,4,1,Zero
3983,1,9,2,12,4,13,2,3,4,2,Zero
3984,3,4,4,3,1,6,1,13,4,4,One
3985,1,2,4,13,3,11,1,8,3,1,Zero
3986,2,2,4,1,4,3,2,9,3,11,Zero
3987,3,9,3,3,4,6,2,2,3,8,Zero
3988,3,2,1,6,1,7,1,9,1,1,Zero
3989,3,12,3,13,2,12,3,9,2,11,One
3990,3,6,2,2,1,8,4,13,4,11,Zero
3991,4,2,3,11,4,5,2,10,4,9,Zero
3992,4,4,3,5,2,5,4,1,1,13,One
3993,1,6,1,8,2,5,4,13,1,3,Zero
3994,4,12,4,2,2,12,1,10,2,10,Two
3995,1,8,2,8,1,7,1,12,2,4,One
3996,2,12,2,8,2,6,3,12,3,6,Two
3997,1,9,4,1,3,11,4,8,1,11,One
3998,2,5,1,10,3,9,4,9,1,2,One
3999,1,11,4,9,3,2,2,10,4,7,Zero
4000,2,7,1,13,3,11,3,12,3,13,One
4001,2,3,3,7,4,9,2,2,4,12,Zero
4002,4,1,2,1,1,2,3,4,3,10,One
4003,2,5,1,11,2,7,4,1,1,5,One
4004,4,1,1,13,4,11,3,7,4,9,Zero
4005,1,12,3,10,4,5,2,5,4,7,One
4006,2,3,1,12,3,2,3,3,1,9,One
4007,2,13,1,10,3,4,1,5,4,12,Zero
4008,1,12,4,4,4,1,3,8,3,5,Zero
4009,1,7,1,2,4,8,3,5,1,9,Zero
4010,4,12,2,5,4,3,1,1,1,9,Zero
4011,1,6,1,1,2,4,1,8,2,8,One
4012,3,9,1,10,2,6,2,5,3,11,Zero
4013,1,7,2,11,1,5,3,12,4,5,One
4014,3,9,2,3,4,3,1,10,1,1,One
4015,3,12,2,13,1,8,2,1,1,4,Zero
4016,2,10,1,1,1,12,1,5,1,4,Zero
4017,3,13,1,11,3,1,1,1,1,9,One
4018,4,7,1,7,3,10,2,9,1,10,Two
4019,4,2,4,4,4,5,4,3,4,12,Five
4020,1,11,2,13,4,12,1,9,4,6,Zero
4021,4,9,4,4,1,3,3,13,1,4,One
4022,1,8,1,4,2,10,2,5,2,9,Zero
4023,2,4,1,11,4,12,4,7,1,5,Zero
4024,2,5,4,11,2,11,4,8,2,4,One
4025,2,2,3,8,1,12,1,6,1,8,One
4026,2,3,4,5,1,11,1,5,2,13,One
4027,3,10,1,9,1,3,3,4,3,9,One
4028,3,3,2,3,1,11,2,11,2,9,Two
4029,3,1,2,12,4,2,3,2,4,11,One
4030,4,1,2,5,2,12,3,2,2,10,Zero
4031,3,9,2,11,1,2,1,12,1,5,Zero
4032,4,10,1,9,4,7,3,6,2,6,One
4033,3,12,2,6,1,1,1,6,2,2,One
4034,1,13,3,12,3,11,1,4,2,10,Zero
4035,4,1,3,7,1,10,3,1,3,4,One
4036,4,13,4,4,2,7,2,9,1,8,Zero
4037,2,1,1,10,3,9,2,9,3,5,One
4038,2,10,1,8,3,12,3,2,2,12,One
4039,4,8,3,9,3,13,3,12,1,5,Zero
4040,4,8,4,12,4,13,3,4,2,7,Zero
4041,2,13,4,3,1,7,2,7,3,12,One
4042,2,5,2,7,4,2,3,10,2,10,One
4043,3,5,4,12,3,2,1,12,4,4,One
4044,4,7,1,2,2,9,2,1,3,3,Zero
4045,1,7,2,12,1,9,4,5,2,9,One
4046,2,10,2,6,1,10,3,2,1,6,Two
4047,2,10,2,11,1,7,3,11,3,7,Two
4048,1,11,2,3,3,9,4,3,1,2,One
4049,2,3,3,8,4,11,2,9,1,5,Zero
4050,2,1,3,2,1,4,1,8,1,7,Zero
4051,2,10,1,9,4,11,3,8,4,10,One
4052,1,8,1,9,3,3,4,8,3,13,One
4053,4,7,2,11,1,11,1,9,3,10,One
4054,2,4,2,9,2,12,4,9,3,12,Two
4055,3,2,3,9,1,6,4,6,1,10,One
4056,1,7,1,2,4,12,4,9,1,4,Zero
4057,2,13,4,12,2,10,2,12,4,5,One
4058,4,13,3,4,4,2,1,3,3,12,Zero
4059,1,6,2,8,4,5,3,1,4,13,Zero
4060,1,9,2,1,3,11,1,3,1,10,Zero
4061,4,8,2,4,2,3,1,2,4,4,One
4062,4,1,2,2,3,8,1,3,1,1,One
4063,2,1,1,12,2,4,3,9,4,6,Zero
4064,2,1,3,9,1,3,4,6,2,9,One
4065,1,2,1,4,3,5,3,6,3,3,Four
4066,3,12,4,3,2,11,4,2,2,1,Zero
4067,2,10,2,3,3,12,1,5,4,5,One
4068,1,4,4,2,2,7,2,1,3,12,Zero
4069,2,11,4,2,2,7,4,10,2,3,Zero
4070,1,11,1,1,4,7,4,3,4,1,One
4071,3,7,3,1,4,10,3,5,3,8,Zero
4072,3,5,4,11,3,13,4,6,1,2,Zero
4073,4,2,3,4,4,9,2,1,2,6,Zero
4074,4,11,4,9,4,7,1,1,2,7,One
4075,4,4,2,8,2,2,2,12,1,2,One
4076,4,10,4,9,2,8,3,10,3,9,Two
4077,1,7,1,9,1,5,4,5,3,3,One
4078,2,5,3,9,2,1,1,10,2,4,Zero
4079,1,12,2,13,3,6,2,12,4,9,One
4080,1,5,4,5,3,9,4,13,4,3,One
4081,3,8,3,5,4,13,1,13,4,7,One
4082,3,8,4,3,3,9,1,9,2,9,Three
4083,1,12,2,8,3,10,3,5,1,11,Zero
4084,4,6,1,6,3,12,2,10,1,4,One
4085,1,10,2,10,4,1,3,5,3,2,One
4086,2,11,3,5,4,9,3,11,4,7,One
4087,4,3,1,1,3,11,4,7,2,12,Zero
4088,4,5,3,13,2,11,3,8,2,3,Zero
4089,3,11,4,13,1,12,1,9,1,5,Zero
4090,1,2,1,10,3,8,1,8,3,7,One
4091,3,7,3,1,1,3,2,7,1,10,One
4092,4,6,1,11,3,10,3,11,3,6,Two
4093,2,13,3,7,1,5,1,3,3,8,Zero
4094,1,3,4,1,4,4,1,4,4,3,Two
4095,2,10,3,4,1,5,4,10,2,3,One
4096,4,3,1,6,1,5,2,5,1,8,One
4097,1,11,2,11,2,1,1,6,2,9,One
4098,4,9,3,6,4,2,1,5,1,8,Zero
4099,3,13,2,11,1,9,3,11,4,13,Two
4100,3,9,4,2,3,3,1,8,1,3,One
4101,4,11,1,8,4,10,2,7,1,5,Zero
4102,3,3,4,10,1,8,2,1,2,10,One
4103,4,8,4,6,3,1,2,6,2,3,One
4104,2,2,3,9,2,13,3,10,1,6,Zero
4105,1,8,3,8,4,5,4,13,2,4,One
4106,4,11,2,3,3,1,1,13,3,11,One
4107,4,4,2,6,2,10,1,3,2,7,Zero
4108,1,3,3,5,1,12,4,12,1,6,One
4109,3,3,2,3,4,12,4,8,4,2,One
4110,1,3,1,7,4,7,3,12,4,5,One
4111,4,7,1,3,2,10,3,5,1,4,Zero
4112,4,1,2,3,3,2,3,13,2,5,Zero
4113,3,12,2,1,1,11,4,10,4,3,Zero
4114,3,8,2,1,4,6,4,12,1,1,One
4115,1,13,1,12,3,13,2,9,3,6,One
4116,2,6,2,12,1,8,2,11,1,10,Zero
4117,2,11,3,2,1,2,4,7,2,7,Two
4118,2,12,1,7,2,9,4,8,3,7,One
